marker,Identifier,Score,Component,Description
DDjama,Participant 12895766,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895766,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895766,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895766,4,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895766,3,18,Discussion correctly interprets findings
DDjama,Participant 12895766,2,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895766,2,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895766,3,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895766,4,22,Discussion concludes appropriately.
DDjama,Participant 12895766,4,23,Overall clarity of writing
DDjama,Participant 12895766,4,24,Overall quality of grammar and spelling
DDjama,Participant 12895766,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895766,4,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895789,3,1,Abstract is clear and accurate
DDjama,Participant 12895789,4,2,Abstract contains correct information
DDjama,Participant 12895789,4,3,Introduction is clear and accurate
DDjama,Participant 12895789,3,4,Introduction gives big-picture overview
DDjama,Participant 12895789,4,5,Introduction outlines specific research area
DDjama,Participant 12895789,4,6,Introduction gives rationale for current experiment
DDjama,Participant 12895789,5,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895789,4,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895789,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895789,3,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895789,3,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895789,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895789,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895789,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895789,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895789,4,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895789,3,18,Discussion correctly interprets findings
DDjama,Participant 12895789,4,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895789,4,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895789,4,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895789,3,22,Discussion concludes appropriately.
DDjama,Participant 12895789,4,23,Overall clarity of writing
DDjama,Participant 12895789,4,24,Overall quality of grammar and spelling
DDjama,Participant 12895789,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895789,4,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895793,4,1,Abstract is clear and accurate
DDjama,Participant 12895793,4,2,Abstract contains correct information
DDjama,Participant 12895793,4,3,Introduction is clear and accurate
DDjama,Participant 12895793,4,4,Introduction gives big-picture overview
DDjama,Participant 12895793,5,5,Introduction outlines specific research area
DDjama,Participant 12895793,4,6,Introduction gives rationale for current experiment
DDjama,Participant 12895793,5,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895793,5,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895793,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895793,3,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895793,5,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895793,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895793,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895793,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895793,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895793,4,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895793,4,18,Discussion correctly interprets findings
DDjama,Participant 12895793,5,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895793,5,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895793,4,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895793,4,22,Discussion concludes appropriately.
DDjama,Participant 12895793,5,23,Overall clarity of writing
DDjama,Participant 12895793,5,24,Overall quality of grammar and spelling
DDjama,Participant 12895793,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895793,5,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895799,3,1,Abstract is clear and accurate
DDjama,Participant 12895799,3,2,Abstract contains correct information
DDjama,Participant 12895799,3,3,Introduction is clear and accurate
DDjama,Participant 12895799,2,4,Introduction gives big-picture overview
DDjama,Participant 12895799,4,5,Introduction outlines specific research area
DDjama,Participant 12895799,3,6,Introduction gives rationale for current experiment
DDjama,Participant 12895799,4,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895799,1,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895799,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895799,3,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895799,3,11,"Result section is overall clear, accurate, and contain correct information"
DDjama,Participant 12895799,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DDjama,Participant 12895799,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DDjama,Participant 12895799,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DDjama,Participant 12895799,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DDjama,Participant 12895799,3,17,Discussion correctly and clearly summarises findings
DDjama,Participant 12895799,3,18,Discussion correctly interprets findings
DDjama,Participant 12895799,1,19,Discussion makes appropriate links to previous literature
DDjama,Participant 12895799,2,20,Discussion provides good considerations of the limitations of the current study
DDjama,Participant 12895799,3,21,"Discussion makes a good, sensible suggestion for future work"
DDjama,Participant 12895799,3,22,Discussion concludes appropriately.
DDjama,Participant 12895799,3,23,Overall clarity of writing
DDjama,Participant 12895799,3,24,Overall quality of grammar and spelling
DDjama,Participant 12895799,5,25,Correct formatting of sections and sub-sections
DDjama,Participant 12895799,3,26,Correct usage of APA-formatted citations and references
DDjama,Participant 12895808,3,1,Abstract is clear and accurate
DDjama,Participant 12895808,3,2,Abstract contains correct information
DDjama,Participant 12895808,3,3,Introduction is clear and accurate
DDjama,Participant 12895808,2,4,Introduction gives big-picture overview
DDjama,Participant 12895808,1,5,Introduction outlines specific research area
DDjama,Participant 12895808,2,6,Introduction gives rationale for current experiment
DDjama,Participant 12895808,3,7,"Participant section is clear, accurate, and contain correct information"
DDjama,Participant 12895808,1,8,Sample sizes are justified through a power calculation
DDjama,Participant 12895808,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DDjama,Participant 12895808,4,10,"Procedure section is clear, accurate, and contain correct information."
DDjama,Participant 12895808,3,11,"Result section is overall clear, accurate, and contain correct information"
